Review,Chapter,Video Lectures,Created
No,Java Introduction,"https://youtu.be/bm0OyhwFDuY?feature=shared, https://youtu.be/tSqNBjGacYk?si=avzIUiW4aekAXAyN","February 28, 2024 6:32 PM"
No,How Java Works?,https://youtu.be/NHrsLjhjmi4?si=vDoV-2C_lRLgOwr5,"February 29, 2024 7:59 AM"
No,Variables in Java,https://youtu.be/9RCuKrze_-k?si=4r3bB77EMCMtvefg,"February 29, 2024 9:32 AM"
No,Datatypes in Java,https://youtu.be/Le25I331_yU?si=YYUX1_IcAhF_W9q_,"February 29, 2024 9:38 AM"
No,Literals in Java,https://www.youtube.com/watch?v=iZXLCM5bzRI&list=PLsyeobzWxl7pe_IiTfNyr55kwJPWbgxB5&index=8,"February 29, 2024 9:59 AM"
No,Type Conversion in Java,https://youtu.be/CPk8pffKV64?feature=shared,"February 29, 2024 12:52 PM"
No,Assignment operators in Java,https://youtu.be/flWjzwzgybI?feature=shared,"February 29, 2024 1:27 PM"
No,Relational operators in Java,https://youtu.be/flWjzwzgybI?si=fq1NfCmJoa_3Prvl,"February 29, 2024 3:24 PM"
No,Logical operators in Java,https://youtu.be/hLimYJZQ2kc?si=PcNtVB_Vj9dRAN5E,"March 4, 2024 7:22 AM"
No,if-else statements in Java,https://youtu.be/74Q7POjS7mQ?si=52c1OeALoD9jNlF9,"March 4, 2024 7:28 AM"
No,Ternary operator in Java,https://youtu.be/kBdZBbWZ2a4?si=b-6cazHn7e7ao7Ph,"March 6, 2024 1:34 AM"
No,switch-case statements in Java,"https://youtu.be/IrQKDdptiw8?si=I4wSibBImgadgcQU, https://youtu.be/AZb1wLIQ1R4?si=w95JEYjNEjq0Jnrk","March 6, 2024 1:35 AM"
No,while loop in Java,https://youtu.be/mzt5tmV7wxI?si=yQ8eXu15EejrzBOo,"March 6, 2024 2:13 AM"
No,do-while loop in Java,https://youtu.be/zzBVTwpfYr0?si=gv5ggNvcdhqfV1tP,"March 6, 2024 2:14 AM"
No,for loop in Java,https://youtu.be/gu6Agiy2xBg?si=weTcy1CKVQwzsTOG,"March 6, 2024 2:15 AM"
No,Nested loops in Java,,"March 6, 2024 2:16 AM"
No,Class and Objects in Java,https://youtu.be/3yOLNV9BF8A?si=fm6g6lNn7NdtEJPp,"March 6, 2024 10:55 PM"
No,"JDK, JRE, and JVM in Java",https://youtu.be/s7UgQ7_1KQY?si=cYv0QI4LlyCqprfE,"March 6, 2024 11:03 PM"
No,Methods in Java,https://youtu.be/KSS3MUbBWLk?si=aNtX2SY9O_KhT_GL,"March 6, 2024 11:17 PM"
No,Method Overloading in Java,https://youtu.be/KpwBVAYbPDA?si=3qMovmPsXVrL7UVX,"March 6, 2024 11:42 PM"
No,Stack and Heap memory in Java,https://youtu.be/_GK3WoFFKUE?si=EPeY6R7FGSjW1qiC,"March 8, 2024 7:19 AM"
No,Arrays in Java,https://youtu.be/239ubH043lI?si=cvw8AHG3ek18_zwv,"March 8, 2024 7:30 AM"
No,Multidimensional Arrays in Java,https://youtu.be/v4J2bEQF6jk?si=qIThbhp7F-8u4Gkw,"March 8, 2024 7:41 AM"
No,Jagged Arrays in Java,https://youtu.be/IPBK2VdSNX0?si=-DbkYmxhczM0g7lu,"March 8, 2024 8:05 AM"
No,Drawbacks of Arrays in Java,https://youtu.be/82z4XJx6y3M?si=Jr65ZgoeUrWUX0C1,"March 8, 2024 8:15 AM"
No,Array of Objects in Java,https://youtu.be/2j64wdFNWyE?si=Ka0HoZEPOZ_r8xAb,"March 8, 2024 8:16 AM"
No,Enhanced for loop in Java,https://youtu.be/KcJX6XGmB-o?si=OF9D2BqdXN_tMNOm,"March 10, 2024 7:39 AM"
No,String in Java,https://youtu.be/cV-sOpOgof8?si=8eEVxLrIRrxP0mfP,"March 10, 2024 8:04 AM"
No,StringBuffer and StringBuilder in Java,https://youtu.be/7HYaQOyvw7Q?si=MIUKX9FH8ldVD2T6,"March 10, 2024 8:21 AM"
No,Static variable in Java,https://youtu.be/7HYaQOyvw7Q?si=WrVY5NH8ovgZnjIr,"March 10, 2024 11:18 AM"
No,Static method in Java,https://youtu.be/zySudOTN05I?si=M0RP5HHJc4Vp0lDu,"March 10, 2024 11:38 AM"
No,Static block in Java,https://youtu.be/_7q4kMfJPDw?si=gxZBaCBjKMT74eLz,"March 10, 2024 11:52 AM"
No,Encapsulation in Java,https://youtu.be/YbqneqDIZh8?si=wEl-wmjjCr5-5mWi,"March 12, 2024 9:50 AM"
No,Getters and Setters in Java,https://youtu.be/VCHq1FEbZ3I?si=dzjUedCqIWcqKPJD,"March 12, 2024 9:51 AM"
No,`this` keyword in Java,https://youtu.be/k_SJOnVa_G0?si=yCLZ_xCQmQhMhhzM,"March 12, 2024 10:03 AM"
No,Constructor in Java,https://youtu.be/UC_aqNUFyVI?si=ZkdUBxKRZlScvKZr,"March 15, 2024 12:18 PM"
No,Default vs Parameterized Constructor in Java,https://youtu.be/49ptL_q7sxU?si=ebz9SsaPHiv2hGb9,"March 15, 2024 12:30 PM"
No,Naming conventions in Java,https://youtu.be/QZ1bsTqxmAw?si=g0F45Hd_BhV8oCyu,"March 15, 2024 12:45 PM"
No,Anonymous Objects in Java,https://youtu.be/ndTM5I2vtYQ?si=zQOlgezKMVCDCfgR,"March 15, 2024 12:49 PM"
No,Inheritance in Java,https://youtu.be/dFuVh_Bzy9c?si=YDL15ngF72i9Zavi,"March 15, 2024 1:06 PM"
No,Multilevel Inheritance in Java,https://youtu.be/W91VFTTAM3s?si=A1lIuYGeybIIb2IY,"March 15, 2024 1:24 PM"
No,`this()` and `super()` methods in Java,https://youtu.be/u2oT-qogaFI?si=zG8AgT-JW8dDcxql,"March 16, 2024 10:51 AM"
No,Method overriding in Java,https://youtu.be/CLzgS08equQ?si=rP2PzhBiGcQ8OfWv,"March 16, 2024 1:01 PM"
No,Packages in Java,https://youtu.be/Bua6LQO2vQ8?si=vqCq5OSUEr5ppaV2,"March 17, 2024 5:25 PM"
No,Access modifiers in Java,https://youtu.be/mlVYooy93sE?si=IyGPo7dAlP_NZTzK,"March 17, 2024 5:57 PM"
No,Polymorphism in Java,https://youtu.be/6U-0aUBiO5A?si=TmlbJflk2HlnlO4Y,"March 17, 2024 6:02 PM"
No,Dynamic Method Dispatch in Java,https://youtu.be/8C_YRYXCuwc?si=jMZE5MH6JGImKH4Y,"March 17, 2024 6:17 PM"
No,`final` keyword in Java,https://youtu.be/OBYeDzgsOxc?si=zxZ5xgw2bPuoSwxB,"March 17, 2024 6:28 PM"
No,"Object class `equals()`, `toString()`, and `hashCode()` methods in Java",https://youtu.be/dCt9sfZV8Sg?si=TgEXxn8me3brKpjB,"March 17, 2024 6:56 PM"
No,Upcasting and Downcasting in Java,https://youtu.be/Q8cTydJSawQ?si=XujpRfm01VqnlUD6,"March 17, 2024 7:04 PM"
No,Wrapper Classes in Java,https://youtu.be/Fyc86kVIePE?si=DKgVjnOaVEpIAxjc,"March 17, 2024 7:23 PM"
No,`abstract` keyword in Java,https://youtu.be/VJh2u7NLLDg?si=b-SG4u5j0WYgNw3X,"March 17, 2024 7:46 PM"
No,Inner class in Java,https://youtu.be/UVOztdkD7WE?si=FB0LbOHOPRosj_7H,"March 18, 2024 10:02 AM"
No,Anonymous Inner class in Java,https://youtu.be/LNpUj80JLGI?si=aqEOAuVTeKtiVbqe,"March 18, 2024 10:14 AM"
No,Anonymous Inner class for Abstract classes in Java,https://youtu.be/4YnGBOyA2Q4?si=RAnwuK0HK6wdSZVb,"March 18, 2024 10:27 AM"
No,Interfaces in Java,"https://youtu.be/A1uqgEz3hB0?si=CQBSKNmjb2EXDJny, https://youtu.be/NYuoR06Fyy4?si=ebhQMug2cU8IO4Jq, https://youtu.be/AG_7wWFBquQ?si=zy57r9zNSRLU5kxn","March 18, 2024 10:42 AM"
No,Enum in Java,https://youtu.be/k0iTgTuiEGY?si=jp5fmHTmdJMpRy5y,"March 18, 2024 1:13 PM"
No,Using if-else and switch-case in Enum,https://youtu.be/ibSxjGKVU1E?si=G0GyTSjw2bQpkcV6,"March 18, 2024 1:39 PM"
No,Enum class in Java,https://youtu.be/3iyKhywOZeg?si=nEkEoGPNB_AdZrEg,"March 18, 2024 2:01 PM"
No,Annotations in Java,https://youtu.be/1xuDEPftKV0?si=pPuG68RGYGewXQ6P,"March 18, 2024 8:31 PM"
No,Functional Interface in Java,https://youtu.be/Gs8ZPKCFlTc?si=VlkhW3pCkJPgAM9p,"March 18, 2024 8:38 PM"
